

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Bolivia (Plurinational State of)",19,"Urban population with access to safe drinking-water (JMP)",4116,2015,96.7,"E","",""
"Bosnia and Herzegovina",80,"Total population with access to safe drinking-water (JMP)",4114,2015,99.9,"E","",""
"Bosnia and Herzegovina",80,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Bosnia and Herzegovina",80,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.7,"E","",""
"Botswana",20,"Total population with access to safe drinking-water (JMP)",4114,2015,96.2,"E","",""
"Botswana",20,"Rural population with access to safe drinking-water (JMP)",4115,2015,92.3,"E","",""
"Botswana",20,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.2,"E","",""
"Brazil",21,"Total population with access to safe drinking-water (JMP)",4114,2015,98.1,"E","",""
"Brazil",21,"Rural population with access to safe drinking-water (JMP)",4115,2015,87.0,"E","",""
"Brazil",21,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Bulgaria",27,"Total population with access to safe drinking-water (JMP)",4114,2015,99.4,"E","",""
"Bulgaria",27,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.0,"E","",""
"Bulgaria",27,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.6,"E","",""
"Burkina Faso",233,"Total population with access to safe drinking-water (JMP)",4114,2015,82.3,"E","",""
"Burkina Faso",233,"Rural population with access to safe drinking-water (JMP)",4115,2015,75.8,"E","",""
"Burkina Faso",233,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.5,"E","",""
"Burundi",29,"Total population with access to safe drinking-water (JMP)",4114,2015,75.9,"E","",""
"Burundi",29,"Rural population with access to safe drinking-water (JMP)",4115,2015,73.8,"E","",""
"Burundi",29,"Urban population with access to safe drinking-water (JMP)",4116,2015,91.1,"E","",""
"Cabo Verde",35,"Total population with access to safe drinking-water (JMP)",4114,2015,91.7,"E","",""
"Cabo Verde",35,"Rural population with access to safe drinking-water (JMP)",4115,2015,87.3,"E","",""
"Cabo Verde",35,"Urban population with access to safe drinking-water (JMP)",4116,2015,94.0,"E","",""
"Cambodia",115,"Total population with access to safe drinking-water (JMP)",4114,2015,75.5,"E","",""
"Cambodia",115,"Rural population with access to safe drinking-water (JMP)",4115,2015,69.1,"E","",""
"Cambodia",115,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Cameroon",32,"Total population with access to safe drinking-water (JMP)",4114,2015,75.6,"E","",""
"Cameroon",32,"Rural population with access to safe drinking-water (JMP)",4115,2015,52.7,"E","",""
"Cameroon",32,"Urban population with access to safe drinking-water (JMP)",4116,2015,94.8,"E","",""
"Canada",33,"Total population with access to safe drinking-water (JMP)",4114,2015,99.8,"E","",""
"Canada",33,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.0,"E","",""
"Canada",33,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Central African Republic",37,"Total population with access to safe drinking-water (JMP)",4114,2015,68.5,"E","",""
"Central African Republic",37,"Rural population with access to safe drinking-water (JMP)",4115,2015,54.4,"E","",""
"Central African Republic",37,"Urban population with access to safe drinking-water (JMP)",4116,2015,89.6,"E","",""
"Chad",39,"Total population with access to safe drinking-water (JMP)",4114,2015,50.8,"E","",""
"Chad",39,"Rural population with access to safe drinking-water (JMP)",4115,2015,44.8,"E","",""
"Chad",39,"Urban population with access to safe drinking-water (JMP)",4116,2015,71.8,"E","",""
"Chile",40,"Total population with access to safe drinking-water (JMP)",4114,2015,99.0,"E","",""
"Chile",40,"Rural population with access to safe drinking-water (JMP)",4115,2015,93.3,"E","",""
"Chile",40,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.7,"E","",""
"China",351,"Total population with access to safe drinking-water (JMP)",4114,2015,95.5,"E","",""
"China",351,"Rural population with access to safe drinking-water (JMP)",4115,2015,93.0,"E","",""
"China",351,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.5,"E","",""
"Colombia",44,"Total population with access to safe drinking-water (JMP)",4114,2015,91.4,"E","",""
"Colombia",44,"Rural population with access to safe drinking-water (JMP)",4115,2015,73.8,"E","",""
"Colombia",44,"Urban population with access to safe drinking-water (JMP)",4116,2015,96.8,"E","",""
"Comoros",45,"Total population with access to safe drinking-water (JMP)",4114,2015,90.1,"E","",""
"Comoros",45,"Rural population with access to safe drinking-water (JMP)",4115,2015,89.1,"E","",""
"Comoros",45,"Urban population with access to safe drinking-water (JMP)",4116,2015,92.6,"E","",""
"Congo",46,"Total population with access to safe drinking-water (JMP)",4114,2015,76.5,"E","",""
"Congo",46,"Rural population with access to safe drinking-water (JMP)",4115,2015,40.0,"E","",""
"Congo",46,"Urban population with access to safe drinking-water (JMP)",4116,2015,95.8,"E","",""
"Cook Islands",47,"Total population with access to safe drinking-water (JMP)",4114,2015,99.9,"E","",""
"Cook Islands",47,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.9,"E","",""
"Cook Islands",47,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.9,"E","",""
"Costa Rica",48,"Total population with access to safe drinking-water (JMP)",4114,2015,97.8,"E","",""
"Costa Rica",48,"Rural population with access to safe drinking-water (JMP)",4115,2015,91.9,"E","",""
"Costa Rica",48,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.6,"E","",""
"Côte d'Ivoire",107,"Total population with access to safe drinking-water (JMP)",4114,2015,81.9,"E","",""
"Côte d'Ivoire",107,"Rural population with access to safe drinking-water (JMP)",4115,2015,68.8,"E","",""
"Côte d'Ivoire",107,"Urban population with access to safe drinking-water (JMP)",4116,2015,93.1,"E","",""
"Croatia",98,"Total population with access to safe drinking-water (JMP)",4114,2015,99.6,"E","",""
"Croatia",98,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.7,"E","",""
"Croatia",98,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.6,"E","",""
"Cuba",49,"Total population with access to safe drinking-water (JMP)",4114,2015,94.9,"E","",""
"Cuba",49,"Rural population with access to safe drinking-water (JMP)",4115,2015,89.8,"E","",""
"Cuba",49,"Urban population with access to safe drinking-water (JMP)",4116,2015,96.4,"E","",""
"Cyprus",50,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Cyprus",50,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Cyprus",50,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Czechia",167,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Czechia",167,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Czechia",167,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Democratic People's Republic of Korea",116,"Total population with access to safe drinking-water (JMP)",4114,2015,99.7,"E","",""
"Democratic People's Republic of Korea",116,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.4,"E","",""
"Democratic People's Republic of Korea",116,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.9,"E","",""
"Democratic Republic of the Congo",250,"Total population with access to safe drinking-water (JMP)",4114,2015,52.4,"E","",""
"Democratic Republic of the Congo",250,"Rural population with access to safe drinking-water (JMP)",4115,2015,31.2,"E","",""
"Democratic Republic of the Congo",250,"Urban population with access to safe drinking-water (JMP)",4116,2015,81.1,"E","",""
"Denmark",54,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Denmark",54,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Denmark",54,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Djibouti",72,"Total population with access to safe drinking-water (JMP)",4114,2015,90.0,"E","",""
"Djibouti",72,"Rural population with access to safe drinking-water (JMP)",4115,2015,64.7,"E","",""
"Djibouti",72,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.4,"E","",""
"Dominica",55,"Total population with access to safe drinking-water (JMP)",4114,2007,94.4,"E","",""
"Dominica",55,"Rural population with access to safe drinking-water (JMP)",4115,2007,91.8,"E","",""
"Dominica",55,"Urban population with access to safe drinking-water (JMP)",4116,2015,95.7,"E","",""
"Dominican Republic",56,"Total population with access to safe drinking-water (JMP)",4114,2015,84.7,"E","",""
"Dominican Republic",56,"Rural population with access to safe drinking-water (JMP)",4115,2015,81.9,"E","",""
"Dominican Republic",56,"Urban population with access to safe drinking-water (JMP)",4116,2015,85.4,"E","",""
"Ecuador",58,"Total population with access to safe drinking-water (JMP)",4114,2015,86.9,"E","",""
"Ecuador",58,"Rural population with access to safe drinking-water (JMP)",4115,2015,75.5,"E","",""
"Ecuador",58,"Urban population with access to safe drinking-water (JMP)",4116,2015,93.4,"E","",""
"Egypt",59,"Total population with access to safe drinking-water (JMP)",4114,2015,99.4,"E","",""
"Egypt",59,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.0,"E","",""
"Egypt",59,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"El Salvador",60,"Total population with access to safe drinking-water (JMP)",4114,2015,93.8,"E","",""
"El Salvador",60,"Rural population with access to safe drinking-water (JMP)",4115,2015,86.5,"E","",""
"El Salvador",60,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.5,"E","",""
"Equatorial Guinea",61,"Total population with access to safe drinking-water (JMP)",4114,2015,47.9,"E","",""
"Equatorial Guinea",61,"Rural population with access to safe drinking-water (JMP)",4115,2015,31.5,"E","",""
"Equatorial Guinea",61,"Urban population with access to safe drinking-water (JMP)",4116,2015,72.5,"E","",""
"Eritrea",178,"Total population with access to safe drinking-water (JMP)",4114,2015,57.8,"E","",""
"Eritrea",178,"Rural population with access to safe drinking-water (JMP)",4115,2015,53.3,"E","",""
"Eritrea",178,"Urban population with access to safe drinking-water (JMP)",4116,2015,73.2,"E","",""
"Estonia",63,"Total population with access to safe drinking-water (JMP)",4114,2015,99.6,"E","",""
"Estonia",63,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.0,"E","",""
"Estonia",63,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Eswatini",209,"Total population with access to safe drinking-water (JMP)",4114,2015,74.1,"E","",""
"Eswatini",209,"Rural population with access to safe drinking-water (JMP)",4115,2015,68.9,"E","",""
"Eswatini",209,"Urban population with access to safe drinking-water (JMP)",4116,2015,93.6,"E","",""
"Ethiopia",238,"Total population with access to safe drinking-water (JMP)",4114,2015,57.3,"E","",""
"Ethiopia",238,"Rural population with access to safe drinking-water (JMP)",4115,2015,48.6,"E","",""
"Ethiopia",238,"Urban population with access to safe drinking-water (JMP)",4116,2015,93.1,"E","",""
"Fiji",66,"Total population with access to safe drinking-water (JMP)",4114,2015,95.7,"E","",""
"Fiji",66,"Rural population with access to safe drinking-water (JMP)",4115,2015,91.2,"E","",""
"Fiji",66,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.5,"E","",""
"Finland",67,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Finland",67,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Finland",67,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"France",68,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"France",68,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"France",68,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Gabon",74,"Total population with access to safe drinking-water (JMP)",4114,2015,93.2,"E","",""
"Gabon",74,"Rural population with access to safe drinking-water (JMP)",4115,2015,66.7,"E","",""
"Gabon",74,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.2,"E","",""
"Gambia",75,"Total population with access to safe drinking-water (JMP)",4114,2015,90.2,"E","",""
"Gambia",75,"Rural population with access to safe drinking-water (JMP)",4115,2015,84.4,"E","",""
"Gambia",75,"Urban population with access to safe drinking-water (JMP)",4116,2015,94.2,"E","",""
"Georgia",73,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Georgia",73,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Georgia",73,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Germany",79,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Germany",79,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Germany",79,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Ghana",81,"Total population with access to safe drinking-water (JMP)",4114,2015,88.7,"E","",""
"Ghana",81,"Rural population with access to safe drinking-water (JMP)",4115,2015,84.0,"E","",""
"Ghana",81,"Urban population with access to safe drinking-water (JMP)",4116,2015,92.6,"E","",""
"Greece",84,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Greece",84,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Greece",84,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Grenada",86,"Total population with access to safe drinking-water (JMP)",4114,2015,96.6,"E","",""
"Grenada",86,"Rural population with access to safe drinking-water (JMP)",4115,2015,95.3,"E","",""
"Grenada",86,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.0,"E","",""
"Guatemala",89,"Total population with access to safe drinking-water (JMP)",4114,2015,92.8,"E","",""
"Guatemala",89,"Rural population with access to safe drinking-water (JMP)",4115,2015,86.8,"E","",""
"Guatemala",89,"Urban population with access to safe drinking-water (JMP)",4116,2015,98.4,"E","",""
"Guinea",90,"Total population with access to safe drinking-water (JMP)",4114,2015,76.8,"E","",""
"Guinea",90,"Rural population with access to safe drinking-water (JMP)",4115,2015,67.4,"E","",""
"Guinea",90,"Urban population with access to safe drinking-water (JMP)",4116,2015,92.7,"E","",""
"Guinea-Bissau",175,"Total population with access to safe drinking-water (JMP)",4114,2015,79.3,"E","",""
"Guinea-Bissau",175,"Rural population with access to safe drinking-water (JMP)",4115,2015,60.3,"E","",""
"Guinea-Bissau",175,"Urban population with access to safe drinking-water (JMP)",4116,2015,98.8,"E","",""
"Guyana",91,"Total population with access to safe drinking-water (JMP)",4114,2015,98.3,"E","",""
"Guyana",91,"Rural population with access to safe drinking-water (JMP)",4115,2015,98.3,"E","",""
"Guyana",91,"Urban population with access to safe drinking-water (JMP)",4116,2015,98.2,"E","",""
"Haiti",93,"Total population with access to safe drinking-water (JMP)",4114,2015,57.7,"E","",""
"Haiti",93,"Rural population with access to safe drinking-water (JMP)",4115,2015,47.6,"E","",""
"Haiti",93,"Urban population with access to safe drinking-water (JMP)",4116,2015,64.9,"E","",""
"Honduras",95,"Total population with access to safe drinking-water (JMP)",4114,2015,91.2,"E","",""
"Honduras",95,"Rural population with access to safe drinking-water (JMP)",4115,2015,83.8,"E","",""
"Honduras",95,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.4,"E","",""
"Hungary",97,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Hungary",97,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Hungary",97,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Iceland",99,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Iceland",99,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Iceland",99,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"India",100,"Total population with access to safe drinking-water (JMP)",4114,2015,94.1,"E","",""
"India",100,"Rural population with access to safe drinking-water (JMP)",4115,2015,92.6,"E","",""
"India",100,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.1,"E","",""
"Indonesia",101,"Total population with access to safe drinking-water (JMP)",4114,2015,87.4,"E","",""
"Indonesia",101,"Rural population with access to safe drinking-water (JMP)",4115,2015,79.5,"E","",""
"Indonesia",101,"Urban population with access to safe drinking-water (JMP)",4116,2015,94.2,"E","",""
"Iran (Islamic Republic of)",102,"Total population with access to safe drinking-water (JMP)",4114,2015,96.2,"E","",""
"Iran (Islamic Republic of)",102,"Rural population with access to safe drinking-water (JMP)",4115,2015,92.1,"E","",""
"Iran (Islamic Republic of)",102,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.7,"E","",""
"Iraq",103,"Total population with access to safe drinking-water (JMP)",4114,2015,86.6,"E","",""
"Iraq",103,"Rural population with access to safe drinking-water (JMP)",4115,2015,70.1,"E","",""
"Iraq",103,"Urban population with access to safe drinking-water (JMP)",4116,2015,93.8,"E","",""
"Ireland",104,"Total population with access to safe drinking-water (JMP)",4114,2015,97.9,"E","",""
"Ireland",104,"Rural population with access to safe drinking-water (JMP)",4115,2015,97.8,"E","",""
"Ireland",104,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.9,"E","",""
"Israel",105,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Israel",105,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Israel",105,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Italy",106,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Italy",106,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Italy",106,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Jamaica",109,"Total population with access to safe drinking-water (JMP)",4114,2015,93.8,"E","",""
"Jamaica",109,"Rural population with access to safe drinking-water (JMP)",4115,2015,89.4,"E","",""
"Jamaica",109,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.5,"E","",""
"Japan",110,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Japan",110,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Japan",110,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Jordan",112,"Total population with access to safe drinking-water (JMP)",4114,2015,96.9,"E","",""
"Jordan",112,"Rural population with access to safe drinking-water (JMP)",4115,2015,92.3,"E","",""
"Jordan",112,"Urban population with access to safe drinking-water (JMP)",4116,2015,97.8,"E","",""
"Kazakhstan",108,"Total population with access to safe drinking-water (JMP)",4114,2015,92.9,"E","",""
"Kazakhstan",108,"Rural population with access to safe drinking-water (JMP)",4115,2015,85.6,"E","",""
"Kazakhstan",108,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.4,"E","",""
"Kenya",114,"Total population with access to safe drinking-water (JMP)",4114,2015,63.2,"E","",""
"Kenya",114,"Rural population with access to safe drinking-water (JMP)",4115,2015,56.8,"E","",""
"Kenya",114,"Urban population with access to safe drinking-water (JMP)",4116,2015,81.6,"E","",""
"Kiribati",83,"Total population with access to safe drinking-water (JMP)",4114,2015,66.9,"E","",""
"Kiribati",83,"Rural population with access to safe drinking-water (JMP)",4115,2015,50.6,"E","",""
"Kiribati",83,"Urban population with access to safe drinking-water (JMP)",4116,2015,87.3,"E","",""
"Kuwait",118,"Total population with access to safe drinking-water (JMP)",4114,2015,99.0,"E","",""
"Kuwait",118,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.0,"E","",""
"Kuwait",118,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.0,"E","",""
"Kyrgyzstan",113,"Total population with access to safe drinking-water (JMP)",4114,2015,90.0,"E","",""
"Kyrgyzstan",113,"Rural population with access to safe drinking-water (JMP)",4115,2015,86.2,"E","",""
"Kyrgyzstan",113,"Urban population with access to safe drinking-water (JMP)",4116,2015,96.7,"E","",""
"Lao People's Democratic Republic",120,"Total population with access to safe drinking-water (JMP)",4114,2015,75.7,"E","",""
"Lao People's Democratic Republic",120,"Rural population with access to safe drinking-water (JMP)",4115,2015,69.4,"E","",""
"Lao People's Democratic Republic",120,"Urban population with access to safe drinking-water (JMP)",4116,2015,85.6,"E","",""
"Latvia",119,"Total population with access to safe drinking-water (JMP)",4114,2015,99.3,"E","",""
"Latvia",119,"Rural population with access to safe drinking-water (JMP)",4115,2015,98.3,"E","",""
"Latvia",119,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.8,"E","",""
"Lebanon",121,"Total population with access to safe drinking-water (JMP)",4114,2015,99.0,"E","",""
"Lebanon",121,"Rural population with access to safe drinking-water (JMP)",4115,2015,99.0,"E","",""
"Lebanon",121,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.0,"E","",""
"Lesotho",122,"Total population with access to safe drinking-water (JMP)",4114,2015,81.8,"E","",""
"Lesotho",122,"Rural population with access to safe drinking-water (JMP)",4115,2015,77.0,"E","",""
"Lesotho",122,"Urban population with access to safe drinking-water (JMP)",4116,2015,94.6,"E","",""
"Liberia",123,"Total population with access to safe drinking-water (JMP)",4114,2015,75.6,"E","",""
"Liberia",123,"Rural population with access to safe drinking-water (JMP)",4115,2015,62.6,"E","",""
"Liberia",123,"Urban population with access to safe drinking-water (JMP)",4116,2015,88.6,"E","",""
"Libya",124,"Total population with access to safe drinking-water (JMP)",4114,2001,71.2,"E","",""
"Libya",124,"Rural population with access to safe drinking-water (JMP)",4115,2001,68.3,"E","",""
"Libya",124,"Urban population with access to safe drinking-water (JMP)",4116,2001,72.1,"E","",""
"Lithuania",126,"Total population with access to safe drinking-water (JMP)",4114,2015,96.6,"E","",""
"Lithuania",126,"Rural population with access to safe drinking-water (JMP)",4115,2015,90.4,"E","",""
"Lithuania",126,"Urban population with access to safe drinking-water (JMP)",4116,2015,99.7,"E","",""
"Luxembourg",256,"Total population with access to safe drinking-water (JMP)",4114,2015,100.0,"E","",""
"Luxembourg",256,"Rural population with access to safe drinking-water (JMP)",4115,2015,100.0,"E","",""
"Luxembourg",256,"Urban population with access to safe drinking-water (JMP)",4116,2015,100.0,"E","",""
"Madagascar",129,"Total population with access to safe drinking-water (JMP)",4114,2015,51.5,"E","",""
"Madagascar",129,"Rural population with access to safe drinking-water (JMP)",4115,2015,35.3,"E","",""
"Madagascar",129,"Urban population with access to safe drinking-water (JMP)",4116,2015,81.6,"E","",""
"Malawi",130,"Total population with access to safe drinking-water (JMP)",4114,2015,90.2,"E","",""
